"Guid","SBQQ__AdditionalDiscountAmount__c","SBQQ__AdditionalQuantity__c","SBQQ__AllowAssetRefund__c","SBQQ__BatchQuantity__c","SBQQ__BillingFrequency__c","SBQQ__BillingType__c","SBQQ__Bundle__c","SBQQ__BundledQuantity__c","SBQQ__Bundled__c","SBQQ__CarryoverLine__c","SBQQ__ChargeType__c","SBQQ__ComponentCost__c","SBQQ__ComponentDiscountedByPackage__c","SBQQ__ComponentListTotal__c","SBQQ__ComponentSubscriptionScope__c","SBQQ__ComponentTotal__c","SBQQ__ComponentUpliftedByPackage__c","SBQQ__CompoundDiscountRate__c","SBQQ__ConfigurationRequired__c","SBQQ__CostEditable__c","SBQQ__CustomerPrice__c","SBQQ__DefaultSubscriptionTerm__c","SBQQ__Description__c","SBQQ__DiscountScheduleType__c","SBQQ__DiscountSchedule__c","SBQQ__DiscountTier__c","SBQQ__Discount__c","SBQQ__DistributorDiscount__c","SBQQ__DynamicOptionId__c","SBQQ__EarliestValidAmendmentStartDate__c","SBQQ__EndDate__c","SBQQ__Existing__c","SBQQ__Favorite__c","SBQQ__GenerateContractedPrice__c","SBQQ__GrossProfit__c","SBQQ__Group__c","SBQQ__Guidance__c","SBQQ__HasConsumptionSchedule__c","SBQQ__Hidden__c","SBQQ__Incomplete__c","SBQQ__ListPrice__c","SBQQ__MarkupAmount__c","SBQQ__MarkupRate__c","SBQQ__MaximumPrice__c","SBQQ__MinimumPrice__c","SBQQ__NetPrice__c","SBQQ__NonDiscountable__c","SBQQ__NonPartnerDiscountable__c","SBQQ__Number__c","SBQQ__OptionDiscountAmount__c","SBQQ__OptionDiscount__c","SBQQ__OptionLevel__c","SBQQ__OptionType__c","SBQQ__Optional__c","SBQQ__OriginalPrice__c","SBQQ__OriginalQuoteLineId__c","SBQQ__OriginalUnitCost__c","SBQQ__PackageProductCode__c","SBQQ__PackageProductDescription__c","SBQQ__PartnerDiscount__c","SBQQ__PartnerPrice__c","SBQQ__PreviousSegmentPrice__c","SBQQ__PreviousSegmentUplift__c","SBQQ__PriceEditable__c","SBQQ__PricebookEntryId__c","SBQQ__PricingMethodEditable__c","SBQQ__PricingMethod__c","SBQQ__PriorQuantity__c","SBQQ__ProductOption__c","SBQQ__ProductSubscriptionType__c","SBQQ__Product__c","SBQQ__ProrateMultiplier__c","SBQQ__ProratedListPrice__c","SBQQ__ProratedPrice__c","SBQQ__Quantity__c","SBQQ__Quote__c","SBQQ__RegularPrice__c","SBQQ__Renewal__c","SBQQ__RenewedSubscription__c","SBQQ__RequiredBy__c","SBQQ__SegmentIndex__c","SBQQ__SegmentKey__c","SBQQ__SegmentLabel__c","SBQQ__Source__c","SBQQ__SpecialPriceDescription__c","SBQQ__SpecialPriceType__c","SBQQ__SpecialPrice__c","SBQQ__StartDate__c","SBQQ__SubscribedAssetIds__c","SBQQ__SubscriptionBase__c","SBQQ__SubscriptionCategory__c","SBQQ__SubscriptionPercent__c","SBQQ__SubscriptionPricing__c","SBQQ__SubscriptionScope__c","SBQQ__SubscriptionTargetPrice__c","SBQQ__SubscriptionTerm__c","SBQQ__SubscriptionType__c","SBQQ__TaxCode__c","SBQQ__Taxable__c","SBQQ__TermDiscountSchedule__c","SBQQ__TermDiscountTier__c","SBQQ__TermDiscount__c","SBQQ__UnitCost__c","SBQQ__UnproratedNetPrice__c","SBQQ__UpgradedQuantity__c","SBQQ__UpgradedSubscription__c","SBQQ__UpliftAmount__c","SBQQ__Uplift__c","SBQQ__VolumeDiscount__c"
008b83cd-1e60-4ea4-a21f-4f6040074b66,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,150.0,1.0,Regular cleaning &amp; preventative maintenance to keep your equipment operating optimally.- Recurring,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s5e000000UWrDAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,150.0,"#N/A","#N/A","#N/A","#N/A",150.0,false,false,4.0,"#N/A","#N/A",1.0,Component,false,150.0,"#N/A","#N/A","#N/A","#N/A","#N/A",150.0,"#N/A","#N/A",false,01u5e000002i9rmAAA,false,List,"#N/A",0346424d-21a6-45de-83a7-eefac9d0d0a3,Renewable,d47e6f00-24c0-455a-a82d-a8ea64d58fe8,1.0,150.0,150.0,1.0,ab7b1523-4916-47b7-885f-e7933b409a5c,150.0,false,"#N/A",d20e7b42-b064-4cfb-821d-181a734d226c,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",150.0,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
02af888c-e818-4cae-ac7f-b0adb5791689,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,80.96,1.0,"K-Cycle™ bins are bundled in packs of five (5), for offices that brew 24 K-Cup® pods or more a day - 450 K-Cup® pods per bin. Single bins are not available.- Recurring<br> <br>EACH BIN INCLUDES<br>1. Pre-paid UPS return label affixed to bin<br>2. Pre-affixed bag and zip tie seal for brewed K-Cup® pod collection","#N/A","#N/A","#N/A",10.0,"#N/A",a2s5e000000UWrCAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,89.96,"#N/A","#N/A","#N/A","#N/A",80.96,false,false,6.0,"#N/A","#N/A",1.0,Component,false,89.96,"#N/A","#N/A","#N/A","#N/A","#N/A",80.96,"#N/A","#N/A",false,01u5e000002i9rqAAA,false,List,"#N/A",2b7b6f66-e2fc-4646-8a92-52c9fc9b6765,Renewable,ebb7c792-d220-42f7-b298-ecce1a5a425c,1.0,89.96,89.96,1.0,30701bf8-d352-46ee-9806-0cb08a8fcd2e,89.96,false,"#N/A",f74f4b3f-2116-447e-8f61-59dc4c3c85c7,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",89.96,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
04df2eb2-7166-4659-a515-66da3a7a176a,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,120.0,1.0,Regular cleaning &amp; preventative maintenance to keep your equipment operating optimally.- Recurring,"#N/A","#N/A","#N/A",20.0,"#N/A",a2s5e000000UWrDAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,150.0,"#N/A","#N/A","#N/A","#N/A",120.0,false,false,5.0,"#N/A","#N/A",1.0,Component,false,150.0,"#N/A","#N/A","#N/A","#N/A","#N/A",120.0,"#N/A","#N/A",false,01u5e000002i9rmAAA,false,List,"#N/A",0346424d-21a6-45de-83a7-eefac9d0d0a3,Renewable,d47e6f00-24c0-455a-a82d-a8ea64d58fe8,1.0,150.0,150.0,1.0,c0e4aea1-7663-4d9c-969f-24c9fa861f93,150.0,false,"#N/A",100c764b-92c0-4547-b52c-53485c425f7c,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",150.0,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
0e44e5c6-cfd5-4ade-9b86-74b576e84855,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,103.21,1.0,8 24-count Boxes of our best selling blends.- Recurring,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s5e000000UWrBAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,103.21,"#N/A","#N/A","#N/A","#N/A",103.21,false,false,3.0,"#N/A","#N/A",1.0,Component,false,103.21,"#N/A","#N/A","#N/A","#N/A","#N/A",103.21,"#N/A","#N/A",false,01u5e000002i9rwAAA,false,List,"#N/A",dabf82ca-1bfe-4eb8-a278-5023bdb921fd,Renewable,58d57690-4c01-4e71-a904-786f049eaff5,1.0,103.21,103.21,1.0,33953f22-bf25-4558-a30d-945be0701acb,103.21,false,"#N/A",51a4f0ee-ee58-4a0e-816c-2681b915089e,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",103.21,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
0fbf11af-2994-45e2-a66e-31286e79a411,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,248.49,"#N/A","Forces CO2 into water to create carbonation for sodas<br>No need to turn off CO2 or water to service; maintain electronics without depressurizing the tank<br>115V, 1/3 hp, 1725 RPM motor","#N/A","#N/A","#N/A",30.0,"#N/A",a2s5e000000UWrFAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,354.99,"#N/A","#N/A","#N/A","#N/A",248.49,false,false,5.0,"#N/A","#N/A",1.0,Component,false,354.99,"#N/A","#N/A","#N/A","#N/A","#N/A",248.49,"#N/A","#N/A",false,01u5e000002i9s3AAA,false,List,"#N/A",52d81539-dd55-4ae7-8a13-b4392056f160,One-time,abb9ef93-5545-4e59-82dc-d94293de6852,1.0,354.99,354.99,1.0,ab7b1523-4916-47b7-885f-e7933b409a5c,354.99,false,"#N/A",d20e7b42-b064-4cfb-821d-181a734d226c,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",354.99,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
100c764b-92c0-4547-b52c-53485c425f7c,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",true,"#N/A",false,false,"#N/A",0.0,false,3439.35,"#N/A",3406.01,false,"#N/A",false,false,0.0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,0.0,"#N/A","#N/A","#N/A","#N/A",0.0,false,false,1.0,"#N/A","#N/A","#N/A","#N/A",false,0.0,"#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A","#N/A",false,01u5e000002i9riAAA,false,List,"#N/A","#N/A",One-time,f7476de3-effd-4e0e-9cf9-a888c539ad3e,1.0,0.0,0.0,1.0,c0e4aea1-7663-4d9c-969f-24c9fa861f93,0.0,false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
12241f6a-de0d-47a5-89bd-8a2d127b7e60,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,354.99,"#N/A","Forces CO2 into water to create carbonation for sodas<br>No need to turn off CO2 or water to service; maintain electronics without depressurizing the tank<br>115V, 1/3 hp, 1725 RPM motor","#N/A","#N/A","#N/A","#N/A","#N/A",a2s5e000000UWrFAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,354.99,"#N/A","#N/A","#N/A","#N/A",354.99,false,false,8.0,"#N/A","#N/A",1.0,Component,false,354.99,"#N/A","#N/A","#N/A","#N/A","#N/A",354.99,"#N/A","#N/A",false,01u5e000002i9s3AAA,false,List,"#N/A",52d81539-dd55-4ae7-8a13-b4392056f160,One-time,abb9ef93-5545-4e59-82dc-d94293de6852,1.0,354.99,354.99,1.0,8d557a55-59e4-4985-90e1-4850a587ec1d,354.99,false,"#N/A",7610df67-efcc-4ebc-9c84-1cf4ad1d3fcd,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",354.99,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
198931a3-4a47-41f0-8aa2-e77d5152c693,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,150.0,1.0,Regular cleaning &amp; preventative maintenance to keep your equipment operating optimally.- Recurring,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s5e000000UWrDAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,150.0,"#N/A","#N/A","#N/A","#N/A",150.0,false,false,10.0,"#N/A","#N/A",1.0,Component,false,150.0,"#N/A","#N/A","#N/A","#N/A","#N/A",150.0,"#N/A","#N/A",false,01u5e000002i9rmAAA,false,List,"#N/A",0346424d-21a6-45de-83a7-eefac9d0d0a3,Renewable,d47e6f00-24c0-455a-a82d-a8ea64d58fe8,1.0,150.0,150.0,1.0,c0e4aea1-7663-4d9c-969f-24c9fa861f93,150.0,false,"#N/A",cb27ecc2-50c3-4bc6-9af7-bff69aedfce5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",150.0,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
234cd8a9-7eb2-4d7f-aaa5-b226b393f4a8,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,3189.0,"#N/A",10 Flomatic valves to dispense an assortment of beverages. <br>Ice dispenser holds 200lb of ice.,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s5e000000UWrFAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,3189.0,"#N/A","#N/A","#N/A","#N/A",3189.0,false,false,11.0,"#N/A","#N/A",1.0,Component,false,3189.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3189.0,"#N/A","#N/A",false,01u5e000002i9rnAAA,false,List,"#N/A",6ac94881-3267-4a9d-858d-b6f0395648d2,One-time,ddfe9a6a-0fc6-4822-ad95-4f66bf2cdbc7,1.0,3189.0,3189.0,1.0,c0e4aea1-7663-4d9c-969f-24c9fa861f93,3189.0,false,"#N/A",cb27ecc2-50c3-4bc6-9af7-bff69aedfce5,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",3189.0,"#N/A","#N/A",List,"#N/A","#N/A","#N/A",Quote,"#N/A","#N/A",One-time,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
370b9f70-9661-40c3-94c3-ee69cc49666f,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,1.0,false,false,"#N/A","#N/A",false,"#N/A","#N/A","#N/A",false,"#N/A",false,false,33.45,1.0,7 Gallon Bag in Box Syrup- Recurring,"#N/A","#N/A","#N/A","#N/A","#N/A",a2s5e000000UWrAAAW,"#N/A","#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,33.45,"#N/A","#N/A","#N/A","#N/A",33.45,false,false,3.0,"#N/A","#N/A",1.0,Component,false,33.45,"#N/A","#N/A","#N/A","#N/A","#N/A",33.45,"#N/A","#N/A",false,01u5e000002i9rsAAA,false,List,"#N/A",91ea24ca-dc06-4ccc-8c57-cbd2a7c36c42,Renewable,7d537d39-982c-4b45-ba53-6148fedf7aec,1.0,33.45,33.45,1.0,8d557a55-59e4-4985-90e1-4850a587ec1d,33.45,false,"#N/A",7610df67-efcc-4ebc-9c84-1cf4ad1d3fcd,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",33.45,"#N/A","#N/A",List,"#N/A","#N/A",Fixed Price,Quote,"#N/A","#N/A",Renewable,"#N/A",false,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",0.0,0.0,"#N/A"
